Px,Py,Pz
2,0,0
2,0.0166667,0
2,0.0333333,0
1.99931,0.0499942,0
1.99792,0.0666435,0
1.99583,0.0832755,0
1.99306,0.0998843,0
1.98958,0.116464,0
1.98541,0.133009,0
1.98055,0.149513,0
1.97498,0.16597,0
1.96871,0.182374,0
1.96173,0.198719,0
1.95405,0.214998,0
1.94566,0.231205,0
1.93655,0.247334,0
1.92672,0.263377,0
1.91618,0.279328,0
1.9049,0.29518,0
1.89289,0.310925,0
1.88014,0.326555,0
1.86665,0.342063,0
1.8524,0.35744,0
1.8374,0.372678,0
1.82163,0.387768,0
1.80508,0.402702,0
1.78776,0.417468,0
1.76964,0.432058,0
1.75071,0.44646,0
1.73098,0.460664,0
1.71042,0.474658,0
1.68902,0.488428,0
1.66677,0.501963,0
1.64366,0.515249,0
1.61967,0.52827,0
1.59479,0.541011,0
1.569,0.553455,0
1.54228,0.565585,0
1.51462,0.577381,0
1.48599,0.588822,0
1.45637,0.599887,0
1.42574,0.610551,0
1.39407,0.620789,0
1.36134,0.630573,0
1.32753,0.639871,0
1.29259,0.64865,0
1.2565,0.656874,0
1.21923,0.664503,0
1.18073,0.671491,0
1.14096,0.677789,0
1.09989,0.683344,0
1.05746,0.688093,0
1.01362,0.691967,0
0.968322,0.69489,0
0.9215,0.696773,0
0.873088,0.697516,0
0.823016,0.697004,0
0.771207,0.695103,0
0.717575,0.691659,0
0.662029,0.68649,0
0.604469,0.67938,0
0.54479,0.670071,0
0.482877,0.658253,0
0.418615,0.643546,0
0.351888,0.625477,0
0.282591,0.603458,0
0.210649,0.576738,0
0.136055,0.544353,0
0.058932,0.505047,0
-0.0203299,0.457181,0
-0.100837,0.398643,0
-0.180755,0.326855,0
-0.256644,0.239141,0
-0.322897,0.134001,0
-0.372636,0.0134733,0
-0.401382,-0.115766,0
-0.410162,-0.245728,0
-0.403649,-0.371278,0
-0.386712,-0.490584,0
-0.362979,-0.603638,0
-0.334838,-0.711101,0
-0.303812,-0.813766,0
-0.270871,-0.912364,0
-0.236642,-1.00751,0
-0.20154,-1.09972,0
-0.165846,-1.1894,0
-0.12975,-1.2769,0
-0.0933889,-1.36249,0
-0.0568572,-1.4464,0
-0.0202235,-1.52883,0
0.0164622,-1.60993,0
0.0531636,-1.68985,0
0.0898541,-1.76869,0
0.126514,-1.84656,0
0.163129,-1.92355,0
0.199689,-1.99972,0
0.236185,-2.07516,0
0.272613,-2.14991,0
0.308969,-2.22403,0
0.345251,-2.29756,0
0.381457,-2.37054,0
0.417587,-2.44302,0
0.45364,-2.51502,0
0.489617,-2.58657,0
0.525518,-2.65771,0
0.561345,-2.72845,0
0.597098,-2.79882,0
0.632779,-2.86884,0
0.66839,-2.93853,0
0.703931,-3.00791,0
0.739404,-3.07698,0
0.774811,-3.14578,0
0.810153,-3.2143,0
0.845432,-3.28257,0
0.880649,-3.35059,0
0.915806,-3.41837,0
0.950904,-3.48594,0
0.985944,-3.55329,0
1.02093,-3.62043,0
1.05586,-3.68738,0
1.09073,-3.75413,0
1.12556,-3.82071,0
1.16033,-3.88711,0
1.19506,-3.95335,0
1.22973,-4.01942,0
1.26436,-4.08533,0
1.29895,-4.1511,0
1.33348,-4.21672,0
1.36798,-4.2822,0
1.40243,-4.34755,0
1.43684,-4.41276,0
1.47121,-4.47785,0
1.50554,-4.54281,0
1.53983,-4.60766,0
1.57408,-4.67239,0
1.60829,-4.73701,0
1.64247,-4.80152,0
1.67661,-4.86593,0
1.71072,-4.93023,0
1.74479,-4.99444,0
1.77883,-5.05855,0
1.81284,-5.12256,0
1.84682,-5.18648,0
1.88076,-5.25032,0
1.91467,-5.31407,0
1.94855,-5.37773,0
1.98241,-5.44131,0
2.01623,-5.50482,0
2.05003,-5.56824,0
2.0838,-5.63159,0
2.11754,-5.69487,0
2.15125,-5.75807,0
2.18494,-5.8212,0
2.2186,-5.88426,0
2.25224,-5.94726,0
2.28585,-6.01019,0
2.31944,-6.07306,0
2.353,-6.13586,0
2.38654,-6.1986,0
2.42006,-6.26128,0
2.45355,-6.32391,0
2.48703,-6.38647,0
2.52048,-6.44898,0
2.55391,-6.51144,0
2.58731,-6.57384,0
2.6207,-6.63618,0
2.65407,-6.69848,0
2.68742,-6.76073,0
2.72074,-6.82292,0
2.75405,-6.88507,0
2.78734,-6.94717,0
2.82061,-7.00922,0
2.85386,-7.07122,0
2.8871,-7.13318,0
2.92031,-7.1951,0
2.95351,-7.25697,0
2.98669,-7.3188,0
3.01985,-7.38059,0
3.053,-7.44234,0
3.08613,-7.50404,0
3.11924,-7.56571,0
3.15234,-7.62734,0
3.18542,-7.68893,0
3.21849,-7.75048,0
3.25154,-7.81199,0
3.28458,-7.87347,0
3.3176,-7.93492,0
3.35061,-7.99632,0
3.3836,-8.05769,0
3.41658,-8.11903,0
3.44954,-8.18034,0
3.48249,-8.24161,0
3.51542,-8.30285,0
3.54835,-8.36406,0
3.58126,-8.42523,0
3.61415,-8.48638,0
3.64704,-8.54749,0
3.67991,-8.60858,0
3.71276,-8.66963,0
3.74561,-8.73066,0
3.77844,-8.79165,0
3.81126,-8.85262,0
3.84407,-8.91356,0
3.87687,-8.97448,0
3.90965,-9.03536,0
3.94243,-9.09622,0
3.97519,-9.15706,0
4.00794,-9.21786,0
4.04068,-9.27865,0
4.07341,-9.3394,0
4.10613,-9.40014,0
4.13884,-9.46084,0
4.17153,-9.52153,0
4.20422,-9.58218,0
4.2369,-9.64282,0
4.26956,-9.70343,0
4.30222,-9.76402,0
4.33487,-9.82459,0
4.3675,-9.88513,0
4.40013,-9.94566,0
4.43274,-10.0062,0
4.46535,-10.0666,0
4.49795,-10.1271,0
4.53054,-10.1875,0
4.56312,-10.2479,0
4.59569,-10.3083,0
4.62825,-10.3687,0
4.6608,-10.4291,0
4.69335,-10.4894,0
4.72588,-10.5497,0
4.75841,-10.61,0
4.79093,-10.6703,0
4.82344,-10.7306,0
4.85594,-10.7908,0
4.88843,-10.851,0
4.92092,-10.9112,0
4.95339,-10.9714,0
4.98586,-11.0316,0
5.01832,-11.0917,0
5.05078,-11.1519,0
5.08322,-11.212,0
5.11566,-11.2721,0
5.14809,-11.3322,0
5.18051,-11.3923,0
5.21293,-11.4523,0
5.24533,-11.5123,0
5.27774,-11.5724,0
5.31013,-11.6324,0
5.34251,-11.6923,0
5.37489,-11.7523,0
5.40727,-11.8123,0
5.43963,-11.8722,0
5.47199,-11.9321,0
5.50434,-11.9921,0
5.53669,-12.052,0
5.56903,-12.1118,0
5.60136,-12.1717,0
5.63368,-12.2316,0
5.666,-12.2914,0
5.69832,-12.3512,0
5.73062,-12.411,0
5.76292,-12.4708,0
5.79522,-12.5306,0
5.8275,-12.5904,0
5.85978,-12.6502,0
5.89206,-12.7099,0
5.92433,-12.7696,0
5.95659,-12.8294,0
5.98885,-12.8891,0
6.0211,-12.9488,0
6.05335,-13.0084,0
6.08559,-13.0681,0
6.11782,-13.1278,0
6.15005,-13.1874,0
6.18227,-13.2471,0
6.21449,-13.3067,0
6.2467,-13.3663,0
6.27891,-13.4259,0
6.31111,-13.4855,0
6.34331,-13.545,0
6.3755,-13.6046,0
6.40768,-13.6642,0
6.43986,-13.7237,0
6.47204,-13.7832,0
6.50421,-13.8428,0
6.53637,-13.9023,0
6.56853,-13.9618,0
6.60068,-14.0212,0
6.63283,-14.0807,0
6.66498,-14.1402,0
6.69712,-14.1996,0
6.72925,-14.2591,0
6.76138,-14.3185,0
6.79351,-14.378,0
6.82563,-14.4374,0
6.85775,-14.4968,0
6.88986,-14.5562,0
6.92196,-14.6156,0
6.95407,-14.6749,0
6.98616,-14.7343,0
7.01826,-14.7937,0
7.05034,-14.853,0
7.08243,-14.9123,0
7.11451,-14.9717,0
7.14658,-15.031,0
7.17866,-15.0903,0
7.21072,-15.1496,0
7.24278,-15.2089,0
7.27484,-15.2682,0
7.3069,-15.3274,0
7.33895,-15.3867,0
7.37099,-15.446,0
7.40303,-15.5052,0
7.43507,-15.5645,0
7.4671,-15.6237,0
7.49913,-15.6829,0
7.53116,-15.7421,0
7.56318,-15.8013,0
7.5952,-15.8605,0
7.62721,-15.9197,0
7.65922,-15.9789,0
7.69123,-16.0381,0
7.72323,-16.0972,0
7.75523,-16.1564,0
7.78722,-16.2156,0
7.81921,-16.2747,0
7.8512,-16.3338,0
7.88318,-16.393,0
7.91516,-16.4521,0
7.94714,-16.5112,0
7.97911,-16.5703,0
8.01108,-16.6294,0
8.04304,-16.6885,0
8.07501,-16.7476,0
8.10696,-16.8066,0
8.13892,-16.8657,0
8.17087,-16.9248,0
8.20282,-16.9838,0
8.23476,-17.0429,0
8.2667,-17.1019,0
8.29864,-17.1609,0
8.33057,-17.22,0
8.36251,-17.279,0
8.39443,-17.338,0
8.42636,-17.397,0
8.45828,-17.456,0
8.4902,-17.515,0
8.52211,-17.574,0
8.55402,-17.633,0
8.58593,-17.6919,0
8.61784,-17.7509,0
8.64974,-17.8099,0
8.68164,-17.8688,0
8.71353,-17.9277,0
8.74543,-17.9867,0
8.77732,-18.0456,0
8.8092,-18.1045,0
8.84109,-18.1635,0
8.87297,-18.2224,0
8.90484,-18.2813,0
8.93672,-18.3402,0
8.96859,-18.3991,0
9.00046,-18.458,0
9.03232,-18.5169,0
9.06419,-18.5757,0
9.09605,-18.6346,0
9.12791,-18.6935,0
9.15976,-18.7523,0
9.19161,-18.8112,0
9.22346,-18.87,0
9.25531,-18.9289,0
9.28715,-18.9877,0
9.31899,-19.0466,0
9.35083,-19.1054,0
9.38266,-19.1642,0
9.4145,-19.223,0
9.44633,-19.2818,0
9.47815,-19.3406,0
9.50998,-19.3994,0
9.5418,-19.4582,0
9.57362,-19.517,0
9.60543,-19.5758,0
9.63725,-19.6346,0
9.66906,-19.6934,0
9.70087,-19.7521,0
9.73267,-19.8109,0
9.76448,-19.8696,0
9.79628,-19.9284,0
9.82808,-19.9871,0
9.85987,-20.0459,0
9.89167,-20.1046,0
9.92346,-20.1634,0
9.95525,-20.2221,0
9.98703,-20.2808,0
10.0188,-20.3395,0
10.0506,-20.3982,0
10.0824,-20.4569,0
10.1142,-20.5156,0
10.1459,-20.5743,0
10.1777,-20.633,0
10.2095,-20.6917,0
10.2412,-20.7504,0
10.273,-20.8091,0
10.3048,-20.8678,0
10.3365,-20.9264,0
10.3683,-20.9851,0
10.4,-21.0438,0
10.4318,-21.1024,0
10.4635,-21.1611,0
10.4953,-21.2197,0
10.527,-21.2784,0
10.5588,-21.337,0
10.5905,-21.3956,0
10.6223,-21.4543,0
10.654,-21.5129,0
10.6857,-21.5715,0
10.7175,-21.6301,0
10.7492,-21.6887,0
10.7809,-21.7473,0
10.8127,-21.8059,0
10.8444,-21.8645,0
10.8761,-21.9231,0
10.9078,-21.9817,0
10.9396,-22.0403,0
10.9713,-22.0989,0
11.003,-22.1575,0
11.0347,-22.216,0
11.0664,-22.2746,0
11.0981,-22.3332,0
11.1298,-22.3917,0
11.1615,-22.4503,0
11.1932,-22.5089,0
11.2249,-22.5674,0
11.2566,-22.626,0
11.2883,-22.6845,0
11.32,-22.743,0
11.3517,-22.8016,0
11.3834,-22.8601,0
11.4151,-22.9186,0
11.4468,-22.9771,0
11.4785,-23.0357,0
11.5102,-23.0942,0
11.5419,-23.1527,0
11.5735,-23.2112,0
11.6052,-23.2697,0
11.6369,-23.3282,0
11.6686,-23.3867,0
11.7002,-23.4452,0
11.7319,-23.5037,0
11.7636,-23.5622,0
11.7952,-23.6207,0
11.8269,-23.6791,0
11.8586,-23.7376,0
11.8902,-23.7961,0
11.9219,-23.8545,0
11.9536,-23.913,0
11.9852,-23.9715,0
12.0169,-24.0299,0
12.0485,-24.0884,0
12.0802,-24.1468,0
12.1118,-24.2053,0
12.1435,-24.2637,0
12.1751,-24.3222,0
12.2068,-24.3806,0
12.2384,-24.439,0
12.27,-24.4975,0
12.3017,-24.5559,0
12.3333,-24.6143,0
12.365,-24.6727,0
12.3966,-24.7312,0
12.4282,-24.7896,0
12.4599,-24.848,0
12.4915,-24.9064,0
12.5231,-24.9648,0
12.5547,-25.0232,0
12.5864,-25.0816,0
12.618,-25.14,0
12.6496,-25.1984,0
12.6812,-25.2568,0
12.7129,-25.3152,0
12.7445,-25.3735,0
12.7761,-25.4319,0
12.8077,-25.4903,0
12.8393,-25.5487,0
12.8709,-25.607,0
12.9025,-25.6654,0
12.9341,-25.7238,0
12.9658,-25.7821,0
12.9974,-25.8405,0
13.029,-25.8988,0
13.0606,-25.9572,0
13.0922,-26.0155,0
13.1238,-26.0739,0
13.1554,-26.1322,0
13.187,-26.1906,0
13.2186,-26.2489,0
13.2501,-26.3072,0
13.2817,-26.3656,0
13.3133,-26.4239,0
13.3449,-26.4822,0
13.3765,-26.5406,0
13.4081,-26.5989,0
13.4397,-26.6572,0
13.4713,-26.7155,0
13.5028,-26.7738,0
13.5344,-26.8321,0
13.566,-26.8904,0
13.5976,-26.9487,0
13.6292,-27.007,0
13.6607,-27.0653,0
13.6923,-27.1236,0
13.7239,-27.1819,0
13.7555,-27.2402,0
13.787,-27.2985,0
13.8186,-27.3568,0
13.8502,-27.4151,0
13.8817,-27.4734,0
13.9133,-27.5316,0
13.9448,-27.5899,0
13.9764,-27.6482,0
14.008,-27.7064,0
14.0395,-27.7647,0
14.0711,-27.823,0
14.1026,-27.8812,0
14.1342,-27.9395,0
14.1658,-27.9978,0
14.1973,-28.056,0
14.2289,-28.1143,0
14.2604,-28.1725,0
14.292,-28.2308,0
14.3235,-28.289,0
14.355,-28.3472,0
14.3866,-28.4055,0
14.4181,-28.4637,0
14.4497,-28.5219,0
14.4812,-28.5802,0
14.5128,-28.6384,0
14.5443,-28.6966,0
14.5758,-28.7549,0
14.6074,-28.8131,0
14.6389,-28.8713,0
14.6704,-28.9295,0
14.702,-28.9877,0
14.7335,-29.0459,0
14.765,-29.1042,0
14.7966,-29.1624,0
14.8281,-29.2206,0
14.8596,-29.2788,0
14.8911,-29.337,0
14.9227,-29.3952,0
14.9542,-29.4534,0
14.9857,-29.5116,0
15.0172,-29.5698,0
15.0488,-29.6279,0
15.0803,-29.6861,0
15.1118,-29.7443,0
15.1433,-29.8025,0
15.1748,-29.8607,0
15.2063,-29.9189,0
15.2379,-29.977,0
15.2694,-30.0352,0
15.3009,-30.0934,0
15.3324,-30.1516,0
15.3639,-30.2097,0
15.3954,-30.2679,0
15.4269,-30.326,0
15.4584,-30.3842,0
15.4899,-30.4424,0
15.5214,-30.5005,0
15.5529,-30.5587,0
15.5844,-30.6168,0
15.6159,-30.675,0
15.6474,-30.7331,0
15.6789,-30.7913,0
15.7104,-30.8494,0
15.7419,-30.9076,0
15.7734,-30.9657,0
15.8049,-31.0238,0
15.8364,-31.082,0
15.8679,-31.1401,0
15.8994,-31.1982,0
15.9309,-31.2564,0
15.9624,-31.3145,0
15.9938,-31.3726,0
16.0253,-31.4307,0
16.0568,-31.4889,0
16.0883,-31.547,0
16.1198,-31.6051,0
16.1513,-31.6632,0
16.1827,-31.7213,0
16.2142,-31.7794,0
16.2457,-31.8375,0
16.2772,-31.8957,0
16.3087,-31.9538,0
16.3401,-32.0119,0
16.3716,-32.07,0
16.4031,-32.1281,0
