Px,Py,Pz
2,0,0
2,0.0166667,0
1.99931,0.0333275,0
1.99792,0.0499769,0
1.99583,0.0666088,0
1.99305,0.0832174,0
1.98957,0.099797,0
1.9854,0.116341,0
1.98052,0.132845,0
1.97494,0.149301,0
1.96865,0.165704,0
1.96165,0.182047,0
1.95394,0.198324,0
1.94552,0.214528,0
1.93637,0.230653,0
1.9265,0.246692,0
1.9159,0.262637,0
1.90456,0.278481,0
1.89248,0.294216,0
1.87965,0.309835,0
1.86607,0.32533,0
1.85172,0.340692,0
1.8366,0.355912,0
1.82071,0.370981,0
1.80402,0.385889,0
1.78654,0.400627,0
1.76825,0.415183,0
1.74914,0.429547,0
1.72919,0.443706,0
1.70841,0.457649,0
1.68676,0.471363,0
1.66425,0.484832,0
1.64084,0.498043,0
1.61653,0.510979,0
1.5913,0.523625,0
1.56513,0.535961,0
1.538,0.547968,0
1.50989,0.559625,0
1.48078,0.57091,0
1.45063,0.581798,0
1.41943,0.592263,0
1.38715,0.602276,0
1.35375,0.611805,0
1.3192,0.620816,0
1.28347,0.62927,0
1.24653,0.637126,0
1.20832,0.644337,0
1.1688,0.65085,0
1.12792,0.656609,0
1.08564,0.661547,0
1.04189,0.665591,0
0.996608,0.668657,0
0.949724,0.670648,0
0.901162,0.671453,0
0.850836,0.670945,0
0.798652,0.668971,0
0.744507,0.665355,0
0.688284,0.659881,0
0.629855,0.652293,0
0.56908,0.642275,0
0.505803,0.629433,0
0.439857,0.613271,0
0.371069,0.593145,0
0.299271,0.568209,0
0.224335,0.537314,0
0.146242,0.498857,0
0.0652577,0.450538,0
-0.0176482,0.388953,0
-0.0997235,0.309063,0
-0.173711,0.204108,0
-0.222636,0.0697046,0
-0.222855,-0.0799478,0
-0.176431,-0.212867,0
-0.106818,-0.317809,0
-0.0293317,-0.399327,0
0.0494236,-0.463566,0
0.126824,-0.515095,0
0.201864,-0.55704,0
0.274209,-0.591546,0
0.343805,-0.620123,0
0.410722,-0.643868,0
0.475078,-0.663598,0
0.537007,-0.679936,0
0.596642,-0.693371,0
0.654112,-0.70429,0
0.709535,-0.713006,0
0.763022,-0.719775,0
0.814673,-0.724812,0
0.864578,-0.728297,0
0.912821,-0.730381,0
0.959477,-0.731195,0
1.00461,-0.730852,0
1.0483,-0.729451,0
1.09058,-0.727076,0
1.13152,-0.723805,0
1.17116,-0.719704,0
1.20955,-0.714834,0
1.24673,-0.709247,0
1.28273,-0.702993,0
1.3176,-0.696115,0
1.35136,-0.688653,0
1.38404,-0.680642,0
1.41568,-0.672116,0
1.4463,-0.663105,0
1.47591,-0.653637,0
1.50456,-0.643737,0
1.53224,-0.633428,0
1.559,-0.622734,0
1.58484,-0.611675,0
1.60978,-0.600268,0
1.63384,-0.588533,0
1.65703,-0.576486,0
1.67937,-0.564142,0
1.70088,-0.551517,0
1.72155,-0.538623,0
1.74141,-0.525475,0
1.76047,-0.512084,0
1.77873,-0.498462,0
1.79621,-0.48462,0
1.81292,-0.47057,0
1.82886,-0.45632,0
1.84404,-0.441881,0
1.85847,-0.427263,0
1.87215,-0.412473,0
1.8851,-0.39752,0
1.89731,-0.382413,0
1.9088,-0.36716,0
1.91956,-0.351767,0
1.92961,-0.336244,0
1.93894,-0.320595,0
1.94757,-0.30483,0
1.95549,-0.288954,0
1.9627,-0.272974,0
1.96922,-0.256897,0
1.97503,-0.240728,0
1.98015,-0.224475,0
1.98458,-0.208143,0
1.98831,-0.191738,0
1.99134,-0.175266,0
1.99369,-0.158733,0
1.99534,-0.142146,0
1.9963,-0.125508,0
1.99657,-0.108828,0
1.99615,-0.0921092,0
1.99503,-0.0753587,0
1.99321,-0.0585818,0
1.99069,-0.0417844,0
1.98748,-0.0249723,0
1.98356,-0.00815134,0
1.97893,0.00867249,0
1.9736,0.0254932,0
1.96755,0.0423047,0
1.96079,0.0591008,0
1.9533,0.0758752,0
1.94509,0.0926213,0
1.93614,0.109333,0
1.92646,0.126002,0
1.91604,0.142623,0
1.90486,0.159188,0
1.89293,0.17569,0
1.88023,0.192121,0
1.86676,0.208473,0
1.8525,0.224737,0
1.83746,0.240905,0
1.82161,0.256969,0
1.80495,0.272917,0
1.78746,0.288741,0
1.76914,0.30443,0
1.74997,0.319972,0
1.72993,0.335357,0
1.70902,0.350572,0
1.68721,0.365603,0
1.6645,0.380436,0
1.64085,0.395058,0
1.61625,0.409451,0
1.59069,0.423599,0
1.56414,0.437483,0
1.53657,0.451083,0
1.50796,0.464378,0
1.47829,0.477345,0
1.44752,0.489958,0
1.41562,0.50219,0
1.38257,0.51401,0
1.34831,0.525385,0
1.31282,0.536279,0
1.27606,0.54665,0
1.23796,0.556454,0
1.1985,0.565639,0
1.1576,0.57415,0
1.11521,0.581921,0
1.07126,0.58888,0
1.02569,0.594944,0
0.978408,0.600016,0
0.929328,0.603986,0
0.878351,0.606724,0
0.825369,0.608077,0
0.77026,0.607861,0
0.712885,0.605859,0
0.653092,0.601801,0
0.59071,0.595357,0
0.525545,0.586109,0
0.457388,0.573524,0
0.386013,0.556904,0
0.311192,0.535311,0
0.232729,0.507454,0
0.150551,0.471497,0
0.0649233,0.424738,0
-0.0229774,0.363105,0
-0.109553,0.280529,0
-0.184987,0.169426,0
-0.227868,0.0285071,0
-0.218484,-0.11895,0
-0.169677,-0.244944,0
-0.103055,-0.345221,0
-0.0303112,-0.424991,0
0.0435211,-0.489498,0
0.116335,-0.542548,0
0.187257,-0.586777,0
0.255953,-0.624031,0
0.322332,-0.655635,0
0.386415,-0.682569,0
0.448273,-0.705574,0
0.508,-0.725223,0
0.565694,-0.741971,0
0.621454,-0.756181,0
0.675372,-0.768151,0
0.727537,-0.778127,0
0.778031,-0.786314,0
0.826928,-0.792889,0
0.874297,-0.797998,0
0.920202,-0.801771,0
0.9647,-0.804319,0
1.00785,-0.805739,0
1.04969,-0.806118,0
1.09028,-0.805531,0
1.12965,-0.804045,0
1.16784,-0.801722,0
1.20489,-0.798615,0
1.24083,-0.794774,0
1.2757,-0.790243,0
1.30952,-0.785062,0
1.34231,-0.779268,0
1.37411,-0.772896,0
1.40494,-0.765975,0
1.43481,-0.758536,0
1.46375,-0.750603,0
1.49177,-0.742202,0
1.5189,-0.733356,0
1.54515,-0.724085,0
1.57054,-0.714409,0
1.59508,-0.704346,0
1.61878,-0.693915,0
1.64166,-0.683131,0
1.66373,-0.672009,0
1.685,-0.660564,0
1.70548,-0.64881,0
1.72517,-0.636759,0
1.7441,-0.624424,0
1.76227,-0.611815,0
1.77968,-0.598945,0
1.79635,-0.585824,0
1.81227,-0.572462,0
1.82746,-0.558867,0
1.84193,-0.545051,0
1.85567,-0.53102,0
1.8687,-0.516785,0
1.88101,-0.502353,0
1.89262,-0.487731,0
1.90352,-0.472928,0
1.91372,-0.457951,0
1.92322,-0.442807,0
1.93203,-0.427503,0
1.94015,-0.412046,0
1.94757,-0.396442,0
1.95431,-0.380698,0
1.96035,-0.36482,0
1.96572,-0.348814,0
1.97039,-0.332686,0
1.97438,-0.316442,0
1.97768,-0.300089,0
1.9803,-0.283631,0
1.98223,-0.267075,0
1.98347,-0.250426,0
1.98402,-0.23369,0
1.98388,-0.216873,0
1.98305,-0.19998,0
1.98152,-0.183017,0
1.9793,-0.165989,0
1.97637,-0.148902,0
1.97273,-0.131763,0
1.96839,-0.114576,0
1.96334,-0.097347,0
1.95756,-0.0800828,0
1.95106,-0.0627891,0
1.94384,-0.0454718,0
1.93588,-0.0281374,0
1.92718,-0.0107923,0
1.91773,0.0065571,0
1.90752,0.0239039,0
1.89656,0.0412411,0
1.88482,0.0585615,0
1.8723,0.0758577,0
1.85899,0.0931218,0
1.84488,0.110346,0
1.82995,0.127521,0
1.81421,0.144639,0
1.79762,0.161691,0
1.78019,0.178666,0
1.7619,0.195554,0
1.74272,0.212345,0
1.72266,0.229027,0
1.70168,0.245588,0
1.67977,0.262014,0
1.65691,0.278293,0
1.63308,0.294408,0
1.60825,0.310344,0
1.58241,0.326084,0
1.55553,0.34161,0
1.52758,0.3569,0
1.49853,0.371934,0
1.46835,0.386687,0
1.437,0.401133,0
1.40445,0.415244,0
1.37066,0.428987,0
1.33558,0.442328,0
1.29918,0.455228,0
1.26139,0.467644,0
1.22216,0.479525,0
1.18142,0.490818,0
1.13913,0.50146,0
1.09519,0.51138,0
1.04953,0.520495,0
1.00205,0.528711,0
0.952661,0.535917,0
0.901245,0.541983,0
0.847677,0.546754,0
0.791815,0.550046,0
0.733499,0.551633,0
0.672547,0.551238,0
0.608754,0.548514,0
0.541887,0.543021,0
0.471687,0.534187,0
0.397866,0.521253,0
0.320126,0.503184,0
0.238193,0.478525,0
0.151928,0.445164,0
0.0616084,0.39992,0
-0.0312946,0.337909,0
-0.121973,0.251879,0
-0.197194,0.133929,0
-0.231975,-0.011487,0
-0.215325,-0.154356,0
-0.166511,-0.274169,0
-0.103684,-0.370907,0
-0.0358142,-0.449608,0
0.0331396,-0.514698,0
0.101422,-0.569367,0
0.168249,-0.61586,0
0.233279,-0.655779,0
0.296388,-0.690295,0
0.357554,-0.720289,0
0.416811,-0.746435,0
0.474215,-0.769263,0
0.529834,-0.789196,0
0.583739,-0.806576,0
0.636002,-0.821686,0
0.68669,-0.834762,0
0.735867,-0.846001,0
0.783594,-0.855573,0
0.829928,-0.863624,0
0.87492,-0.870278,0
0.918618,-0.875646,0
0.961068,-0.879824,0
1.00231,-0.882898,0
1.04239,-0.884942,0
1.08133,-0.886025,0
1.11917,-0.886206,0
1.15595,-0.885542,0
1.19168,-0.884081,0
1.2264,-0.881868,0
1.26014,-0.878945,0
1.2929,-0.875348,0
1.32473,-0.871113,0
1.35563,-0.86627,0
1.38563,-0.860849,0
1.41473,-0.854878,0
1.44297,-0.848381,0
1.47036,-0.841381,0
1.4969,-0.833901,0
1.52262,-0.82596,0
1.54753,-0.817578,0
1.57163,-0.808772,0
1.59494,-0.799559,0
1.61748,-0.789955,0
1.63924,-0.779975,0
1.66024,-0.769633,0
1.68049,-0.758942,0
1.69999,-0.747915,0
1.71876,-0.736563,0
1.73679,-0.724899,0
1.75411,-0.712932,0
1.7707,-0.700674,0
1.78658,-0.688134,0
1.80176,-0.675321,0
1.81623,-0.662246,0
1.83001,-0.648915,0
1.84309,-0.635338,0
1.85548,-0.621523,0
1.86718,-0.607478,0
1.87819,-0.59321,0
1.88853,-0.578726,0
1.89818,-0.564034,0
1.90715,-0.549139,0
1.91545,-0.53405,0
1.92307,-0.518772,0
1.93001,-0.503312,0
1.93628,-0.487675,0
1.94187,-0.471868,0
1.94679,-0.455897,0
1.95103,-0.439768,0
1.95459,-0.423486,0
1.95747,-0.407056,0
1.95967,-0.390486,0
1.96119,-0.373779,0
1.96203,-0.356942,0
1.96218,-0.33998,0
1.96164,-0.322898,0
1.9604,-0.305702,0
1.95847,-0.288398,0
1.95584,-0.27099,0
1.9525,-0.253484,0
1.94845,-0.235886,0
1.94368,-0.218202,0
1.9382,-0.200436,0
1.93198,-0.182595,0
1.92503,-0.164685,0
1.91734,-0.146712,0
1.9089,-0.128681,0
1.89971,-0.110599,0
1.88974,-0.0924721,0
1.87901,-0.0743076,0
1.86748,-0.056112,0
1.85517,-0.0378926,0
1.84204,-0.0196567,0
1.8281,-0.00141204,0
1.81332,0.0168333,0
1.79771,0.0350707,0
1.78123,0.0532914,0
1.76388,0.0714859,0
1.74563,0.0896444,0
1.72648,0.107756,0
1.7064,0.12581,0
1.68538,0.143794,0
1.66339,0.161696,0
1.64041,0.179502,0
1.61641,0.197196,0
1.59138,0.214764,0
1.56528,0.232187,0
1.53808,0.249448,0
1.50975,0.266526,0
1.48026,0.283398,0
1.44956,0.30004,0
1.41763,0.316425,0
1.38441,0.332524,0
1.34985,0.348302,0
1.31392,0.363724,0
1.27654,0.378746,0
1.23766,0.393323,0
1.19721,0.407401,0
1.15512,0.42092,0
1.1113,0.433809,0
1.06566,0.445989,0
1.01811,0.457365,0
0.968514,0.467827,0
0.91676,0.477245,0
0.862699,0.485462,0
0.806168,0.492289,0
0.74698,0.497494,0
0.684922,0.500787,0
0.619749,0.501803,0
0.551181,0.500069,0
0.478899,0.494966,0
0.402545,0.485654,0
0.321736,0.470967,0
0.23611,0.44923,0
0.145467,0.417947,0
0.0501609,0.373267,0
-0.0477531,0.309178,0
-0.141335,0.217041,0
-0.21232,0.0902032,0
-0.235264,-0.0570446,0
-0.212143,-0.193123,0
-0.164064,-0.306481,0
-0.105136,-0.399574,0
-0.0420677,-0.47693,0
0.0220651,-0.542216,0
0.0858144,-0.598077,0
0.148483,-0.646406,0
0.209738,-0.688581,0
0.269431,-0.725627,0
0.32751,-0.758326,0
0.383974,-0.787289,0
0.438852,-0.812997,0
0.492184,-0.835841,0
0.544018,-0.856142,0
0.594404,-0.874163,0
0.643392,-0.89013,0
0.691031,-0.90423,0
0.737368,-0.916626,0
0.782447,-0.927458,0
0.826309,-0.936848,0
0.868994,-0.944903,0
0.910538,-0.951717,0
0.950975,-0.957374,0
0.990337,-0.961949,0
1.02865,-0.965509,0
1.06595,-0.968114,0
1.10226,-0.969818,0
1.1376,-0.97067,0
1.17199,-0.970717,0
1.20547,-0.969998,0
1.23803,-0.968552,0
1.26972,-0.966413,0
1.30053,-0.963614,0
1.33049,-0.960183,0
1.35962,-0.956148,0
1.38792,-0.951535,0
1.41541,-0.946368,0
1.44211,-0.940667,0
1.46802,-0.934455,0
1.49316,-0.927751,0
1.51753,-0.920572,0
1.54116,-0.912935,0
1.56403,-0.904858,0
1.58617,-0.896354,0
1.60758,-0.887438,0
1.62827,-0.878125,0
1.64825,-0.868426,0
1.66752,-0.858354,0
1.68608,-0.847921,0
1.70395,-0.837137,0
1.72113,-0.826014,0
1.73762,-0.814561,0
1.75342,-0.802787,0
1.76855,-0.790703,0
1.783,-0.778316,0
1.79678,-0.765636,0
1.80989,-0.752671,0
1.82233,-0.739428,0
1.83411,-0.725915,0
1.84522,-0.712139,0
1.85567,-0.698107,0
1.86546,-0.683827,0
1.87459,-0.669304,0
1.88306,-0.654546,0
1.89087,-0.639558,0
1.89801,-0.624347,0
1.9045,-0.608919,0
1.91032,-0.593278,0
1.91549,-0.577432,0
1.91998,-0.561386,0
1.92381,-0.545145,0
1.92698,-0.528714,0
1.92947,-0.5121,0
1.93129,-0.495306,0
1.93243,-0.478339,0
1.93289,-0.461203,0
1.93266,-0.443905,0
1.93175,-0.426448,0
1.93015,-0.408838,0
1.92784,-0.39108,0
1.92483,-0.37318,0
1.92112,-0.355142,0
1.91669,-0.336971,0
1.91153,-0.318674,0
1.90565,-0.300255,0
1.89903,-0.28172,0
1.89166,-0.263074,0
1.88354,-0.244324,0
1.87465,-0.225474,0
1.865,-0.206531,0
1.85455,-0.187502,0
1.84332,-0.168392,0
1.83127,-0.149208,0
1.81841,-0.129957,0
1.80471,-0.110647,0
1.79016,-0.0912852,0
1.77475,-0.0718791,0
1.75846,-0.0524373,0
1.74127,-0.0329687,0
1.72317,-0.0134829,0
1.70413,0.00601031,0
1.68413,0.0255001,0
1.66316,0.0449751,0
1.64118,0.064423,0
1.61818,0.0838304,0
1.59411,0.103183,0
1.56897,0.122466,0
1.5427,0.141661,0
1.51528,0.16075,0
