Px,Py,Pz,E,t
1.01247,-0.948669,-0.0447223,-3.13371e-11,0
1.02268,-0.937365,-0.0447359,-3.1355e-11,1
1.03289,-0.926061,-0.0447496,-3.13647e-11,2
1.0431,-0.914757,-0.0447632,-3.13661e-11,3
1.05331,-0.903454,-0.0447769,-3.13592e-11,4
1.06352,-0.89215,-0.0447905,-3.1344e-11,5
1.07372,-0.880846,-0.0448042,-3.13205e-11,6
1.08393,-0.869542,-0.0448179,-3.12889e-11,7
1.09414,-0.858238,-0.0448315,-3.1249e-11,8
1.10435,-0.846934,-0.0448452,-3.12009e-11,9
1.11456,-0.83563,-0.0448588,-3.11448e-11,10
1.12477,-0.824326,-0.0448725,-3.10806e-11,11
1.13498,-0.813022,-0.0448861,-3.10084e-11,12
1.14519,-0.801719,-0.0448998,-3.09283e-11,13
1.1554,-0.790415,-0.0449135,-3.08404e-11,14
1.16561,-0.779111,-0.0449271,-3.07448e-11,15
1.17582,-0.767807,-0.0449408,-3.06416e-11,16
1.18603,-0.756503,-0.0449544,-3.05308e-11,17
1.19623,-0.745199,-0.0449681,-3.04126e-11,18
1.20644,-0.733895,-0.0449817,-3.02871e-11,19
1.21665,-0.722591,-0.0449954,-3.01545e-11,20
1.22686,-0.711287,-0.045009,-3.00148e-11,21
1.23707,-0.699984,-0.0450227,-2.98683e-11,22
1.24728,-0.68868,-0.0450364,-2.9715e-11,23
1.25749,-0.677376,-0.04505,-2.95551e-11,24
1.2677,-0.666072,-0.0450637,-2.93887e-11,25
1.27791,-0.654768,-0.0450773,-2.9216e-11,26
1.28812,-0.643464,-0.045091,-2.90372e-11,27
1.29833,-0.63216,-0.0451046,-2.88524e-11,28
1.30854,-0.620856,-0.0451183,-2.86618e-11,29
1.31874,-0.609552,-0.045132,-2.84655e-11,30
1.32895,-0.598249,-0.0451456,-2.82638e-11,31
1.33916,-0.586945,-0.0451593,-2.80567e-11,32
1.34937,-0.575641,-0.0451729,-2.78445e-11,33
1.35958,-0.564337,-0.0451866,-2.76274e-11,34
1.36979,-0.553033,-0.0452002,-2.74055e-11,35
1.38,-0.541729,-0.0452139,-2.71789e-11,36
1.39021,-0.530425,-0.0452275,-2.6948e-11,37
1.40042,-0.519121,-0.0452412,-2.67127e-11,38
1.41063,-0.507817,-0.0452549,-2.64734e-11,39
1.42084,-0.496514,-0.0452685,-2.62302e-11,40
1.43105,-0.48521,-0.0452822,-2.59833e-11,41
1.44126,-0.473906,-0.0452958,-2.57328e-11,42
1.45146,-0.462602,-0.0453095,-2.54788e-11,43
1.46167,-0.451298,-0.0453231,-2.52217e-11,44
1.47188,-0.439994,-0.0453368,-2.49615e-11,45
1.48209,-0.42869,-0.0453505,-2.46985e-11,46
1.4923,-0.417386,-0.0453641,-2.44327e-11,47
1.50251,-0.406082,-0.0453778,-2.41643e-11,48
1.51272,-0.394779,-0.0453914,-2.38936e-11,49
1.52293,-0.383475,-0.0454051,-2.36205e-11,50
1.53314,-0.372171,-0.0454187,-2.33454e-11,51
1.54335,-0.360867,-0.0454324,-2.30683e-11,52
1.55356,-0.349563,-0.045446,-2.27895e-11,53
1.56377,-0.338259,-0.0454597,-2.25089e-11,54
1.57397,-0.326955,-0.0454734,-2.22269e-11,55
1.58418,-0.315651,-0.045487,-2.19435e-11,56
1.59439,-0.304347,-0.0455007,-2.16588e-11,57
1.6046,-0.293044,-0.0455143,-2.1373e-11,58
1.61481,-0.28174,-0.045528,-2.10862e-11,59
1.62502,-0.270436,-0.0455416,-2.07985e-11,60
1.63523,-0.259132,-0.0455553,-2.05101e-11,61
1.64544,-0.247828,-0.045569,-2.0221e-11,62
1.65565,-0.236524,-0.0455826,-1.99315e-11,63
1.66586,-0.22522,-0.0455963,-1.96415e-11,64
1.67607,-0.213916,-0.0456099,-1.93512e-11,65
1.68628,-0.202612,-0.0456236,-1.90607e-11,66
1.69648,-0.191309,-0.0456372,-1.87701e-11,67
1.70669,-0.180005,-0.0456509,-1.84795e-11,68
1.7169,-0.168701,-0.0456645,-1.8189e-11,69
1.72711,-0.157397,-0.0456782,-1.78986e-11,70
1.73732,-0.146093,-0.0456919,-1.76085e-11,71
1.74753,-0.134789,-0.0457055,-1.73188e-11,72
1.75774,-0.123485,-0.0457192,-1.70294e-11,73
1.76795,-0.112181,-0.0457328,-1.67406e-11,74
1.77816,-0.100877,-0.0457465,-1.64523e-11,75
1.78837,-0.0895736,-0.0457601,-1.61647e-11,76
1.79858,-0.0782697,-0.0457738,-1.58777e-11,77
1.80879,-0.0669658,-0.0457875,-1.55915e-11,78
1.819,-0.0556619,-0.0458011,-1.53062e-11,79
1.8292,-0.044358,-0.0458148,-1.50217e-11,80
1.83941,-0.0330541,-0.0458284,-1.47382e-11,81
1.84962,-0.0217503,-0.0458421,-1.44557e-11,82
1.85983,-0.0104464,-0.0458557,-1.41742e-11,83
1.87004,0.000857521,-0.0458694,-1.38938e-11,84
1.88025,0.0121614,-0.045883,-1.36145e-11,85
1.89046,0.0234653,-0.0458967,-1.33364e-11,86
1.90067,0.0347692,-0.0459104,-1.30596e-11,87
1.91088,0.0460731,-0.045924,-1.27839e-11,88
1.92109,0.057377,-0.0459377,-1.25096e-11,89
1.9313,0.0686809,-0.0459513,-1.22366e-11,90
1.94151,0.0799847,-0.045965,-1.1965e-11,91
1.95171,0.0912886,-0.0459786,-1.16948e-11,92
1.96192,0.102593,-0.0459923,-1.1426e-11,93
1.97213,0.113896,-0.046006,-1.11586e-11,94
1.98234,0.1252,-0.0460196,-1.08927e-11,95
1.99255,0.136504,-0.0460333,-1.06283e-11,96
2.00276,0.147808,-0.0460469,-1.03654e-11,97
2.01297,0.159112,-0.0460606,-1.0104e-11,98
2.02318,0.170416,-0.0460742,-9.84423e-12,99
2.03339,0.18172,-0.0460879,-9.58599e-12,100
2.0436,0.193024,-0.0461015,-9.32934e-12,101
2.05381,0.204328,-0.0461152,-9.07428e-12,102
2.06402,0.215631,-0.0461289,-8.82083e-12,103
2.07422,0.226935,-0.0461425,-8.569e-12,104
2.08443,0.238239,-0.0461562,-8.31881e-12,105
2.09464,0.249543,-0.0461698,-8.07025e-12,106
2.10485,0.260847,-0.0461835,-7.82334e-12,107
2.11506,0.272151,-0.0461971,-7.57809e-12,108
2.12527,0.283455,-0.0462108,-7.3345e-12,109
2.13548,0.294759,-0.0462244,-7.09258e-12,110
2.14569,0.306063,-0.0462381,-6.85232e-12,111
2.1559,0.317366,-0.0462518,-6.61374e-12,112
2.16611,0.32867,-0.0462654,-6.37683e-12,113
2.17632,0.339974,-0.0462791,-6.1416e-12,114
2.18653,0.351278,-0.0462927,-5.90805e-12,115
2.19673,0.362582,-0.0463064,-5.67617e-12,116
2.20694,0.373886,-0.04632,-5.44597e-12,117
2.21715,0.38519,-0.0463337,-5.21744e-12,118
2.22736,0.396494,-0.0463474,-4.99059e-12,119
2.23757,0.407798,-0.046361,-4.7654e-12,120
2.24778,0.419101,-0.0463747,-4.54188e-12,121
2.25799,0.430405,-0.0463883,-4.32003e-12,122
2.2682,0.441709,-0.046402,-4.09983e-12,123
2.27841,0.453013,-0.0464156,-3.88128e-12,124
2.28862,0.464317,-0.0464293,-3.66438e-12,125
2.29883,0.475621,-0.0464429,-3.44912e-12,126
2.30904,0.486925,-0.0464566,-3.2355e-12,127
2.31925,0.498229,-0.0464703,-3.02351e-12,128
2.32945,0.509532,-0.0464839,-2.81314e-12,129
2.33966,0.520836,-0.0464976,-2.60438e-12,130
2.34987,0.53214,-0.0465112,-2.39723e-12,131
2.36008,0.543444,-0.0465249,-2.19168e-12,132
2.37029,0.554748,-0.0465385,-1.98772e-12,133
2.3805,0.566052,-0.0465522,-1.78534e-12,134
2.39071,0.577356,-0.0465659,-1.58454e-12,135
2.40092,0.58866,-0.0465795,-1.3853e-12,136
2.41113,0.599964,-0.0465932,-1.18762e-12,137
2.42134,0.611267,-0.0466068,-9.91477e-13,138
2.43155,0.622571,-0.0466205,-7.96875e-13,139
2.44176,0.633875,-0.0466341,-6.03799e-13,140
2.45196,0.645179,-0.0466478,-4.1224e-13,141
2.46217,0.656483,-0.0466614,-2.22187e-13,142
2.47238,0.667787,-0.0466751,-3.36304e-14,143
2.48259,0.679091,-0.0466888,1.5344e-13,144
2.4928,0.690395,-0.0467024,3.39036e-13,145
2.50301,0.701699,-0.0467161,5.23166e-13,146
2.51322,0.713002,-0.0467297,7.05843e-13,147
2.52343,0.724306,-0.0467434,8.87075e-13,148
2.53364,0.73561,-0.046757,1.06688e-12,149
2.54385,0.746914,-0.0467707,1.24525e-12,150
2.55406,0.758218,-0.0467844,1.42222e-12,151
2.56427,0.769522,-0.046798,1.59779e-12,152
2.57447,0.780826,-0.0468117,1.77197e-12,153
2.58468,0.79213,-0.0468253,1.94477e-12,154
2.59489,0.803434,-0.046839,2.1162e-12,155
2.6051,0.814737,-0.0468526,2.28628e-12,156
2.61531,0.826041,-0.0468663,2.45502e-12,157
2.62552,0.837345,-0.0468799,2.62242e-12,158
2.63573,0.848649,-0.0468936,2.78849e-12,159
2.64594,0.859953,-0.0469073,2.95326e-12,160
2.65615,0.871257,-0.0469209,3.11673e-12,161
2.66636,0.882561,-0.0469346,3.27891e-12,162
2.67657,0.893865,-0.0469482,3.4398e-12,163
2.68678,0.905169,-0.0469619,3.59944e-12,164
2.69699,0.916472,-0.0469755,3.75781e-12,165
2.70719,0.927776,-0.0469892,3.91494e-12,166
2.7174,0.93908,-0.0470028,4.07084e-12,167
2.72761,0.950384,-0.0470165,4.22552e-12,168
2.73782,0.961688,-0.0470302,4.37898e-12,169
2.74803,0.972992,-0.0470438,4.53124e-12,170
2.75824,0.984296,-0.0470575,4.68231e-12,171
2.76845,0.9956,-0.0470711,4.8322e-12,172
2.77866,1.0069,-0.0470848,4.98092e-12,173
2.78887,1.01821,-0.0470984,5.12848e-12,174
2.79908,1.02951,-0.0471121,5.27489e-12,175
2.80929,1.04082,-0.0471258,5.42016e-12,176
2.8195,1.05212,-0.0471394,5.56431e-12,177
2.8297,1.06342,-0.0471531,5.70734e-12,178
2.83991,1.07473,-0.0471667,5.84927e-12,179
2.85012,1.08603,-0.0471804,5.99009e-12,180
2.86033,1.09733,-0.047194,6.12983e-12,181
2.87054,1.10864,-0.0472077,6.2685e-12,182
2.88075,1.11994,-0.0472213,6.40609e-12,183
2.89096,1.13125,-0.047235,6.54264e-12,184
2.90117,1.14255,-0.0472487,6.67813e-12,185
2.91138,1.15385,-0.0472623,6.81259e-12,186
2.92159,1.16516,-0.047276,6.94602e-12,187
2.9318,1.17646,-0.0472896,7.07843e-12,188
2.94201,1.18777,-0.0473033,7.20984e-12,189
2.95221,1.19907,-0.0473169,7.34025e-12,190
2.96242,1.21037,-0.0473306,7.46967e-12,191
2.97263,1.22168,-0.0473443,7.59811e-12,192
2.98284,1.23298,-0.0473579,7.72558e-12,193
2.99305,1.24429,-0.0473716,7.85208e-12,194
3.00326,1.25559,-0.0473852,7.97764e-12,195
3.01347,1.26689,-0.0473989,8.10225e-12,196
3.02368,1.2782,-0.0474125,8.22593e-12,197
3.03389,1.2895,-0.0474262,8.34868e-12,198
3.0441,1.3008,-0.0474398,8.47052e-12,199
3.05431,1.31211,-0.0474535,8.59145e-12,200
3.06452,1.32341,-0.0474672,8.71148e-12,201
3.07472,1.33472,-0.0474808,8.83062e-12,202
3.08493,1.34602,-0.0474945,8.94888e-12,203
3.09514,1.35732,-0.0475081,9.06626e-12,204
3.10535,1.36863,-0.0475218,9.18278e-12,205
3.11556,1.37993,-0.0475354,9.29844e-12,206
3.12577,1.39124,-0.0475491,9.41325e-12,207
3.13598,1.40254,-0.0475627,9.52722e-12,208
3.14619,1.41384,-0.0475764,9.64036e-12,209
3.1564,1.42515,-0.0475901,9.75267e-12,210
3.16661,1.43645,-0.0476037,9.86417e-12,211
3.17682,1.44776,-0.0476174,9.97485e-12,212
3.18703,1.45906,-0.047631,1.00847e-11,213
3.19724,1.47036,-0.0476447,1.01938e-11,214
3.20744,1.48167,-0.0476583,1.03021e-11,215
